Linea de condensados;Lreal(m);Dtanteo (mm);Leq(m);Lcálculo(m);Pentrada  [bar(g)];Psalida  [bar(g)]
Caldera-P;12,74;N/A;2,548;15,288;9,068;9,058
P-C1;88,189;60;9,24;97,429;9,058;8,818
P-S;106;120;25,44;131,44;9,058;8,898
S-C2;25;N/A;5;30;8,900296262;8,830296262
S-T;60;120;7,5;78;8,900296262;8,780296262
T-C3;15;N/A;3;18;8,780296262;8,710296262
T-C4;45;100;12,4;57,4;8,780296262;8,700296262
;;;;;;
;;;;;;
Linea de condensados;Tubería seleccionada;Dinterior (mm);v(m/s);∆P(bar);;
Caldera-P;Schedule 80 - 150;146,4;19,17;0,01;;
P-C1;Schedule 160 - 80;66,6;18,93;0,24;;
P-S;DIN 2448 - 125;131,7;20,28;0,16;;
S-C2;DIN 2448 - 80;82,5;21,45;0,07;;
S-T;DIN 2448 - 100;107,1;20,79;0,12;;
T-C3;Schedule 40 - 50;52,5;20,42;0,07;;
T-C4;Schedule 40 - 100;102,3;20,11;0,08;;
